id,firstname,lastname,college,affiliation,date,country,start,pro,pounds,jersey,active,pos,height(in)
2,Quincy,Acy,Baylor,Baylor/USA,1990-10-06,USA,2012,6,240,4,True,F,79
8,LaMarcus,Aldridge,Texas-Austin,Texas-Austin/USA,1985-07-19,USA,2006,15,250,21,True,C-F,83
11,Tony,Allen,Oklahoma State,Oklahoma State/USA,1982-01-11,USA,2004,12,213,9,False,G-F,76
15,Alan,Anderson,Michigan State,Michigan State/USA,1982-10-16,USA,2005,7,220,9,False,F-G,78
17,Justin,Anderson,Virginia,Virginia/USA,1993-11-19,USA,2015,5,231,10,True,F-G,77
18,Kyle,Anderson,UCLA,UCLA/USA,1993-09-20,USA,2014,7,230,5,True,F-G,81
21,Carmelo,Anthony,Syracuse,Syracuse/USA,1984-05-29,USA,2003,18,238,7,True,F,79
28,D.J.,Augustin,Texas-Austin,Texas-Austin/USA,1987-11-10,USA,2008,13,183,4,True,G,71
36,Harrison,Barnes,North Carolina,North Carolina/USA,1992-05-30,USA,2012,9,225,40,True,F,80
38,Will,Barton,Memphis,Memphis/USA,1991-01-06,USA,2012,9,181,5,True,G,77
39,Brandon,Bass,Louisiana State,Louisiana State/USA,1985-04-30,USA,2005,11,250,30,False,F,80
44,Kent,Bazemore,Old Dominion,Old Dominion/USA,1989-07-01,USA,2012,9,195,24,True,G-F,76
45,Bradley,Beal,Florida,Florida/USA,1993-06-28,USA,2012,9,207,3,True,G,76
46,Malik,Beasley,Florida State,Florida State/USA,1996-11-26,USA,2016,5,187,5,True,G,76
47,Michael,Beasley,Kansas State,Kansas State/USA,1989-01-09,USA,2008,11,230,30,True,F,81
53,Patrick,Beverley,Arkansas,Arkansas/USA,1988-07-12,USA,2012,9,180,21,True,G,73
56,Tarik,Black,Kansas,Kansas/USA,1991-11-22,USA,2014,4,260,28,True,F,81
59,Eric,Bledsoe,Kentucky,Kentucky/USA,1989-12-09,USA,2010,11,214,5,True,G,73
64,Devin,Booker,Kentucky,Kentucky/USA,1996-10-30,USA,2015,6,206,1,True,G,77
65,Trevor,Booker,Clemson,Clemson/USA,1987-11-25,USA,2010,8,228,20,True,F,80
67,Chris,Bosh,Georgia Tech,Georgia Tech/USA,1984-03-24,USA,2003,13,235,1,False,F,83
68,Avery,Bradley,Texas-Austin,Texas-Austin/USA,1990-11-26,USA,2010,11,180,20,True,G,75
70,Corey,Brewer,Florida,Florida/USA,1986-03-05,USA,2007,13,188,13,True,G-F,81
71,Malcolm,Brogdon,Virginia,Virginia/USA,1992-12-11,USA,2016,5,229,13,True,G,77
74,Bobby,Brown,Cal State-Fullerton,CalUnited StatesState-Fullerton/USA,1984-09-24,USA,2008,2,175,8,False,G,74
75,Jaylen,Brown,California,California/USA,1996-10-24,USA,2016,5,223,7,True,G-F,78
76,Lorenzo,Brown,North Carolina State,North Carolina State/USA,1990-08-26,USA,2013,4,189,4,True,G,77
82,Reggie,Bullock,North Carolina,North Carolina/USA,1991-03-16,USA,2013,8,205,25,True,G-F,78
83,Trey,Burke,Michigan,Michigan/USA,1992-11-12,USA,2013,8,185,9,True,G,72
84,Alec,Burks,Colorado,Colorado/USA,1991-07-20,USA,2011,10,214,5,True,G,78
86,Jimmy,Butler,Marquette,Marquette/USA,1989-09-14,USA,2011,10,230,22,True,F,79
89,Kentavious,Caldwell-Pope,Georgia,Georgia/USA,1993-02-18,USA,2013,8,204,5,True,G,77
93,DeMarre,Carroll,Missouri,Missouri/USA,1986-07-27,USA,2009,11,215,9,True,F,78
101,Tyson,Chandler,Dominguez HS (CA),Dominguez HS (CA)/USA,1982-10-02,USA,2001,19,235,19,True,C,84
102,Wilson,Chandler,DePaul,DePaul/USA,1987-05-10,USA,2007,12,235,21,True,F,80
104,Marquese,Chriss,Washington,Washington/USA,1997-07-02,USA,2016,5,240,14,True,F,81
105,Rakeem,Christmas,Syracuse,Syracuse/USA,1991-12-01,USA,2015,1,250,25,False,F,81
106,Semaj,Christon,Xavier,Xavier/USA,1992-11-01,USA,2016,0,190,6,False,G,75
108,Ian,Clark,Belmont,Belmont University/USA,1991-03-07,USA,2013,6,175,2,True,G,75
114,Mike,Conley,Ohio State,Ohio State/USA,1987-10-11,USA,2007,14,175,11,True,G,73
115,Pat,Connaughton,Notre Dame,Notre Dame/USA,1993-01-06,USA,2015,6,209,24,True,G,77
117,DeMarcus,Cousins,Kentucky,Kentucky/USA,1990-08-13,USA,2010,10,270,4,True,C,82
118,Robert,Covington,Tennessee State,Tennessee State/USA,1990-12-14,USA,2013,8,209,23,True,F,79
121,Jae,Crowder,Marquette,Marquette/USA,1990-07-06,USA,2012,9,235,99,True,F,78
123,Seth,Curry,Duke,Duke/USA,1990-08-23,USA,2013,7,185,30,True,G,74
124,Stephen,Curry,Davidson,Davidson/USA,1988-03-14,USA,2009,12,185,30,True,G,74
125,Troy,Daniels,Virginia Commonwealth,Virginia Commonwealth/USA,1991-07-15,USA,2013,7,200,30,True,G,76
126,Anthony,Davis,Kentucky,Kentucky/USA,1993-03-11,USA,2012,9,253,3,True,F-C,82
128,Ed,Davis,North Carolina,North Carolina/USA,1989-06-05,USA,2010,11,218,21,True,C-F,81
131,Dewayne,Dedmon,Southern California,Southern California/USA,1989-08-12,USA,2013,8,245,21,True,C,84
133,Malcolm,Delaney,Virginia Tech,Virginia Tech/USA,1989-03-11,USA,2016,2,190,5,True,G,75
136,DeMar,DeRozan,Southern California,Southern California/USA,1989-08-07,USA,2009,12,220,11,True,G-F,78
142,Spencer,Dinwiddie,Colorado,Colorado/USA,1993-04-06,USA,2014,7,215,26,True,G,78
147,Andre,Drummond,Connecticut,Connecticut/USA,1993-08-10,USA,2012,9,279,3,True,C,82
148,Jared,Dudley,Boston College,Boston College/USA,1985-07-10,USA,2007,14,237,10,True,F,78
151,Mike,Dunleavy,Duke,Duke/USA,1980-09-15,USA,2002,14,230,34,False,G-F,81
153,Kevin,Durant,Texas,Texas/USA,1988-09-29,USA,2007,13,240,7,True,F,82
155,Jarell,Eddie,Virginia Tech,Virginia Tech/USA,1991-10-30,USA,2015,4,218,31,True,G-F,79
157,Wayne,Ellington,North Carolina,North Carolina/USA,1987-11-29,USA,2009,12,207,2,True,G,76
158,Monta,Ellis,"Lanier HS (Jackson, MS)","Lanier HS (Jackson, MS)/USA",1985-10-26,USA,2005,11,185,11,False,G,75
162,Jeremy,Evans,Western Kentucky,Western Kentucky/USA,1987-10-24,USA,2010,7,200,6,True,F,81
169,Derrick,Favors,Georgia Tech,Georgia Tech/USA,1991-07-15,USA,2010,11,265,15,True,F,81
175,Dorian,Finney-Smith,Florida,Florida/USA,1993-05-04,USA,2016,5,220,10,True,F,79
176,Bryn,Forbes,Michigan State,Michigan State/USA,1993-07-23,USA,2016,5,205,10,True,G,74
178,Randy,Foye,Villanova,Villanova/USA,1983-09-24,USA,2006,10,218,2,False,G,76
186,Rudy,Gay,Connecticut,Connecticut/USA,1986-08-17,USA,2006,15,250,22,True,F-G,80
187,Michael,Gbinije,Syracuse,Syracuse/USA,1992-06-05,USA,2016,0,200,9,False,G-F,79
