,,,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
player_id,firstname,lastname,,,,,,,,,,,,,,,,,,
8,LaMarcus,Aldridge,0.24226579520697167,0.03667481662591687,0.04961832061068702,0.24161073825503357,0.26770293609671847,0.2873417721518987,0.04305043050430504,0.20312500000000003,0.10273972602739725,0.10619469026548674,0.23004694835680753,0.24808935920047032,0.2848335388409371,0.1716535433070866,0.17266187050359713,0.5090335314080198,0.8104509060261273,0.5769230769230769
18,Kyle,Anderson,0.2357298474945534,0.10268948655256724,0.12786259541984732,0.26174496644295303,0.5578583765112262,0.5075949367088608,0.24600246002460024,0.375,0.6164383561643836,0.2271386430678466,0.27699530516431925,0.2933568489124045,0.27003699136868065,0.19370078740157481,0.14028776978417265,0.2792896387539615,0.4161979752530933,0.6268656716417911
21,Carmelo,Anthony,0.38823529411764707,0.38875305623471884,0.40076335877862596,0.19463087248322147,0.3488773747841105,0.3291139240506329,0.06888068880688807,0.49687499999999996,0.3150684931506849,0.15634218289085544,0.2535211267605634,0.41857730746619637,0.3785450061652281,0.2551181102362205,0.24280575539568344,0.25575835057258345,0.732013769363167,0.7571428571428571
28,D.J.,Augustin,0.09760348583877995,0.17359413202933985,0.16412213740458015,0.02348993288590604,0.036269430051813475,0.035443037974683546,0.12423124231242313,0.07187500000000002,0.10273972602739725,0.135693215339233,0.004694835680751174,0.10229276895943562,0.08138101109741061,0.06771653543307087,0.0683453237410072,0.20745490110845477,0.8247213779128673,0.8255813953488372
36,Harrison,Barnes,0.5403050108932461,0.3740831295843521,0.3692748091603053,0.27181208053691275,0.5613126079447324,0.5139240506329115,0.22386223862238622,0.259375,0.3698630136986301,0.3185840707964602,0.07042253521126761,0.47971781305114636,0.46855733662145505,0.6566929133858268,0.6187050359712231,0.3299416743828768,0.7143083361610676,0.7906976744186046
38,Will,Barton,0.4583877995642701,0.4180929095354523,0.4446564885496183,0.1610738255033557,0.4991364421416235,0.42658227848101266,0.34686346863468637,0.346875,0.3972602739726027,0.3716814159292035,0.15492957746478875,0.5437977660199882,0.4907521578298397,0.20314960629921258,0.18345323741007194,0.2496455747316021,0.6655209452201933,0.7339055793991416
44,Kent,Bazemore,0.040087145969498916,0.09290953545232274,0.10019083969465649,0.03355704697986577,0.06044905008635579,0.0569620253164557,0.03444034440344404,0.225,0.18493150684931506,0.05604719764011799,0.046948356807511735,0.06995884773662552,0.03452527743526511,0.03307086614173228,0.026978417266187053,0.008665835335772254,0.6045714285714285,0.7238095238095238
45,Bradley,Beal,0.38649237472766884,0.16381418092909536,0.21564885496183206,0.11409395973154364,0.21588946459412778,0.20126582278481014,0.3284132841328413,0.26875,0.2671232876712329,0.3805309734513274,0.08450704225352113,0.44150499706055263,0.406905055487053,0.33385826771653543,0.3183453237410072,0.27298038195202834,0.7330246913580245,0.5929203539823009
46,Malik,Beasley,0.42091503267973857,0.6259168704156479,0.6583969465648855,0.08389261744966443,0.3402417962003454,0.2810126582278481,0.13899138991389914,0.265625,0.3013698630136986,0.12094395280235988,0.07042253521126761,0.5167548500881834,0.41553637484586925,0.10551181102362205,0.09532374100719425,0.14603541527644015,0.6751173708920188,0.7420289855072464
53,Patrick,Beverley,0.23398692810457516,0.23227383863080683,0.27003816793893126,0.22818791946308722,0.29533678756476683,0.30253164556962026,0.3665436654366544,0.6062500000000001,0.5205479452054793,0.23893805309734512,0.29107981220657275,0.2657260435038213,0.21454993834771888,0.24724409448818896,0.19964028776978418,0.16831981158987186,0.5292517006802722,0.6713780918727915
59,Eric,Bledsoe,0.20261437908496732,0.12469437652811736,0.15744274809160305,0.087248322147651,0.2089810017271157,0.1860759493670886,0.27921279212792127,0.228125,0.4794520547945205,0.3303834808259587,0.09859154929577466,0.24926513815402707,0.2096177558569667,0.1889763779527559,0.16366906474820145,0.20401197368161073,0.6146697388632871,0.6181818181818182
64,Devin,Booker,0.8745098039215686,0.5281173594132029,0.5324427480916031,0.174496644295302,0.5250431778929188,0.4506329113924051,0.44649446494464945,0.596875,0.5821917808219177,0.5634218289085545,0.14084507042253522,0.9194591416813639,0.8927250308261406,0.6519685039370078,0.6474820143884893,0.3185233345074908,0.7871496924128503,0.7741935483870968
68,Avery,Bradley,0.1420479302832244,0.20537897310513448,0.20706106870229007,0.09060402684563759,0.11571675302245249,0.1189873417721519,0.04551045510455104,0.321875,0.3835616438356164,0.07964601769911504,0.04225352112676056,0.17989417989417988,0.15166461159062886,0.023622047244094488,0.023381294964028777,0.21861516206384224,0.8265664160401003,0.7741935483870968
71,Malcolm,Brogdon,0.2762527233115468,0.1491442542787286,0.18416030534351144,0.10067114093959732,0.2072538860103627,0.189873417721519,0.25338253382533826,0.17500000000000002,0.2054794520547945,0.21238938053097345,0.06572769953051644,0.29747207524985303,0.27743526510480887,0.26141732283464564,0.2517985611510791,0.2912907625704352,0.7480112044817926,0.6321243523316062
75,Jaylen,Brown,0.8945533769063181,0.5623471882640587,0.607824427480916,0.2751677852348993,0.77720207253886,0.6734177215189874,0.3763837638376384,0.678125,0.6506849315068493,0.71976401179941,0.13615023474178403,0.9359200470311582,0.9235511713933416,0.7102362204724408,0.6151079136690648,0.3357446638876801,0.605295656724228,0.7221350078492935
82,Reggie,Bullock,0.30239651416122004,0.4767726161369193,0.5038167938931297,0.12416107382550336,0.4231433506044905,0.3569620253164557,0.12423124231242313,0.440625,0.41780821917808214,0.10914454277286136,0.07042253521126761,0.3509700176366843,0.2860665844636252,0.09763779527559055,0.09352517985611512,0.16708994173392921,0.7503607503607503,0.7386363636363636
83,Trey,Burke,0.08017429193899782,0.07579462102689487,0.09541984732824427,0.0,0.0,0.0,0.06888068880688807,0.07500000000000001,0.08904109589041095,0.05014749262536873,0.0,0.11581422692533805,0.08877928483353884,0.04566929133858268,0.046762589928057555,0.17384902791391155,0.8502164502164502,0.62
84,Alec,Burks,0.38605664488017427,0.39853300733496333,0.38740458015267176,0.1442953020134228,0.547495682210708,0.4556962025316456,0.2853628536285363,0.634375,0.5890410958904109,0.23893805309734512,0.13145539906103287,0.40681951793062904,0.32305795314426633,0.415748031496063,0.38848920863309355,0.14124733522314759,0.7049040511727078,0.8029556650246306
