player_id,firstname,lastname,points,minutes,fgm,fga,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fgp,ftp
8,LaMarcus,Aldridge,641.0,1108.35,263.0,482.0,100.0,113.0,15.0,52.0,569.9,76.0,193.0,269.0,48.0,83.0,17.0,47.0,49.0,0.5456431535269709,0.8849557522123894
17,Justin,Anderson,123.0,356.93333333333334,45.0,118.0,17.0,22.0,16.0,71.0,376.4,6.0,51.0,57.0,35.0,24.0,10.0,10.0,10.0,0.3813559322033898,0.7727272727272727
18,Kyle,Anderson,626.0,1801.6333333333332,251.0,559.0,82.0,127.0,42.0,134.0,1869.9,82.0,361.0,443.0,213.0,138.0,92.0,88.0,59.0,0.4490161001788909,0.6456692913385826
21,Carmelo,Anthony,976.0,1889.7833333333333,339.0,772.0,139.0,166.0,159.0,420.0,2621.5,62.0,240.0,302.0,69.0,177.0,48.0,64.0,54.0,0.43911917098445596,0.8373493975903614
28,D.J.,Augustin,309.0,922.4333333333334,98.0,234.0,42.0,47.0,71.0,172.0,2077.7,11.0,59.0,70.0,114.0,41.0,17.0,57.0,1.0,0.4188034188034188,0.8936170212765957
36,Harrison,Barnes,1325.0,2690.8166666666666,412.0,876.0,348.0,421.0,153.0,387.0,3011.3,85.0,363.0,448.0,195.0,101.0,56.0,119.0,15.0,0.4703196347031963,0.8266033254156769
38,Will,Barton,1137.0,2491.9333333333334,430.0,985.0,106.0,133.0,171.0,466.0,2854.9,52.0,327.0,379.0,295.0,129.0,60.0,137.0,33.0,0.4365482233502538,0.7969924812030075
44,Kent,Bazemore,177.0,679.9833333333333,60.0,179.0,19.0,25.0,38.0,105.0,1286.1,14.0,73.0,87.0,41.0,90.0,29.0,30.0,10.0,0.33519553072625696,0.76
45,Bradley,Beal,972.0,1524.0166666666667,362.0,811.0,181.0,216.0,67.0,226.0,1308.1,38.0,163.0,201.0,280.0,104.0,41.0,140.0,18.0,0.44636251541307026,0.8379629629629629
46,Malik,Beasley,1051.0,2214.0666666666666,369.0,939.0,57.0,71.0,256.0,690.0,2956.6,29.0,235.0,264.0,126.0,103.0,46.0,52.0,15.0,0.3929712460063898,0.8028169014084507
47,Michael,Beasley,16.0,29.65,6.0,10.0,2.0,2.0,2.0,3.0,66.7,0.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,0.6,1.0
53,Patrick,Beverley,622.0,1757.4833333333333,206.0,512.0,115.0,161.0,95.0,283.0,2057.7,72.0,209.0,281.0,311.0,212.0,78.0,92.0,62.0,0.40234375,0.7142857142857143
56,Tarik,Black,6.0,16.8,1.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,0.5,1.0
59,Eric,Bledsoe,550.0,1428.8166666666666,202.0,484.0,95.0,124.0,51.0,165.0,1538.1,30.0,159.0,189.0,240.0,91.0,72.0,123.0,21.0,0.41735537190082644,0.7661290322580645
64,Devin,Booker,2092.0,2758.1666666666665,756.0,1624.0,364.0,418.0,216.0,558.0,2979.1,56.0,342.0,398.0,376.0,209.0,87.0,202.0,30.0,0.46551724137931033,0.8708133971291866
68,Avery,Bradley,411.0,1440.35,155.0,366.0,17.0,19.0,84.0,217.0,2261.0,31.0,105.0,136.0,50.0,121.0,58.0,38.0,9.0,0.42349726775956287,0.8947368421052632
71,Malcolm,Brogdon,719.0,1251.7,257.0,566.0,144.0,170.0,61.0,193.0,1129.0,34.0,158.0,192.0,219.0,74.0,32.0,83.0,14.0,0.4540636042402827,0.8470588235294118
